tag	arm	sessions	target_rps	achieved_rps	count	ok	fail
A_discard_20	A	20	-	-	-	-	-
A_r1_20	A	20	-	-	-	-	-
A_r1_40	A	40	-	-	-	-	-
A_r1_60	A	60	-	-	-	-	-
A_r1_80	A	80	-	-	-	-	-
A_r1_120	A	120	-	-	-	-	-
A_r1_160	A	160	-	-	-	-	-
B_discard_20	B	20	19	19.0	1899	1899	0
B_r1_20	B	20	19	19.0	1899	1899	0
B_r1_40	B	40	19	19.0	1899	1899	0
B_r1_60	B	60	19	19.0	1899	1899	0
B_r1_80	B	80	19	19.0	1899	1899	0
B_r1_120	B	120	19	18.9	1899	1899	0
B_r1_160	B	160	19	19.0	1899	1899	0
C_discard_20	C	20	19	19.0	1899	1899	0
C_r1_20	C	20	19	19.0	1899	1899	0
C_r1_40	C	40	19	19.0	1900	1899	1
C_r1_60	C	60	19	19.0	1899	1899	0
C_r1_80	C	80	19	19.0	1899	1899	0
C_r1_120	C	120	19	19.0	1899	1899	0
C_r1_160	C	160	19	19.0	1899	1899	0
B_r2_20	B	20	19	19.0	1899	1899	0
B_r2_40	B	40	19	19.0	1899	1899	0
B_r2_60	B	60	19	19.0	1899	1899	0
B_r2_80	B	80	19	18.9	1899	1899	0
B_r2_120	B	120	19	19.0	1899	1899	0
B_r2_160	B	160	19	19.0	1899	1899	0
C_r2_20	C	20	19	19.0	1899	1899	0
C_r2_40	C	40	19	19.0	1899	1899	0
C_r2_60	C	60	19	19.0	1899	1899	0
C_r2_80	C	80	19	19.0	1899	1899	0
C_r2_120	C	120	19	18.9	1899	1899	0
C_r2_160	C	160	19	19.0	1899	1899	0
A_r2_20	A	20	-	-	-	-	-
A_r2_40	A	40	-	-	-	-	-
A_r2_60	A	60	-	-	-	-	-
A_r2_80	A	80	-	-	-	-	-
A_r2_120	A	120	-	-	-	-	-
A_r2_160	A	160	-	-	-	-	-
C_r3_20	C	20	19	19.0	1899	1899	0
C_r3_40	C	40	19	19.0	1899	1899	0
C_r3_60	C	60	19	19.0	1899	1899	0
C_r3_80	C	80	19	19.0	1899	1899	0
C_r3_120	C	120	19	19.0	1899	1899	0
C_r3_160	C	160	19	19.0	1899	1899	0
A_r3_20	A	20	-	-	-	-	-
A_r3_40	A	40	-	-	-	-	-
A_r3_60	A	60	-	-	-	-	-
A_r3_80	A	80	-	-	-	-	-
A_r3_120	A	120	-	-	-	-	-
A_r3_160	A	160	-	-	-	-	-
B_r3_20	B	20	19	19.0	1899	1899	0
B_r3_40	B	40	19	19.0	1899	1899	0
B_r3_60	B	60	19	19.0	1899	1899	0
B_r3_80	B	80	19	19.0	1899	1899	0
B_r3_120	B	120	19	19.0	1899	1899	0
B_r3_160	B	160	19	19.0	1899	1899	0
